152	ProductHero	https://producthero.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found	2026-08-23 12:56 UTC
153	ProductPages	https://productpages.co	OK	DIRECT	UNKNOWN				No verified public submit entry found	2026-08-23 12:56 UTC
154	ProductsUp	https://productsup.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found	2026-08-23 12:56 UTC
155	ProjectHunt	https://projecthunt.me	OK	DIRECT	STALE	https://projecthunt.me/submit				2026-08-23 12:56 UTC
156	Promote Project	https://www.promoteproject.com	OK	DIRECT	AUTH_REQUIRED	https://www.promoteproject.com/submit-startup	Yes			2026-08-23 12:56 UTC
157	Ramen.Tools	https://ramen.tools	OK	DIRECT	STALE	https://ramen.tools/submit				2026-08-23 12:56 UTC
158	SaaS Arena	https://saasarena.com	OK	DIRECT	STALE	https://championleadership.com/submit				2026-08-23 12:56 UTC
159	SaaS Browser	https://saasbrowser.com	OK	DIRECT	AUTH_REQUIRED	https://saasbrowser.com/en/add-your-saas	Yes			2026-08-23 12:56 UTC
160	SaaS Explorer	https://saasexplorer.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found	2026-08-23 12:56 UTC
161	Saas Field	https://saasfield.com	OK	DIRECT	OPEN	https://saasfield.com/submit				2026-08-23 12:56 UTC
162	SaaS Hub Directory	https://saashubdirectory.com	SERVER_ERROR	DIRECT	SERVER_ERROR	https://saashubdirectory.com/submit			HTTP 502	2026-08-23 12:56 UTC
163	SaaS Hunter	https://saashunter.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found	2026-08-23 12:56 UTC
164	SaaS Launch	https://saaslaunch.io	OK	DIRECT	STALE	https://saaslaunch.io/submit				2026-08-23 12:56 UTC
165	SaaS Launch List	https://saaslaunchlist.com	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error [Errno -3] Temporary failure in name resolution>; No verified public submit entry found	2026-08-23 12:56 UTC
166	SaaS Pages	https://saaspages.xyz	OK	DIRECT	STALE	https://saaspages.xyz/submit				2026-08-23 12:56 UTC
167	SaaS Roots	https://saasroots.com	OK	DIRECT	OPEN	https://saasroots.com/submit				2026-08-23 12:56 UTC
168	SaaS Tools Dir	https://saastoolsdir.com	OK	DIRECT	OPEN	https://saastoolsdir.com/submit				2026-08-23 12:56 UTC
169	SaaS Wheel	https://saaswheel.com	OK	DIRECT	OPEN	https://saaswheel.com/submit				2026-08-23 12:56 UTC
170	SaaSBoard	https://saasboard.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error [Errno -5] No address associated with hostname>; No verified public submit entry found	2026-08-23 12:56 UTC
171	SaaSDir	https://saasdir.com	BLOCKED	CLOAK_FAILED	BLOCKED	https://www.serchen.com/submit		Yes	just a moment	2026-08-23 12:56 UTC
172	SaaSFrame	https://saasframe.io	OK	DIRECT	STALE	https://www.saasframe.io/submit				2026-08-23 12:56 UTC
173	SaasHunt	https://saashunt.best	OK	DIRECT	AUTH_REQUIRED	https://saashunt.best/projects/submit	Yes			2026-08-23 12:56 UTC
174	SaaSNova	https://saasnova.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error timed out>; No verified public submit entry found	2026-08-23 12:56 UTC
