2	Betafy	https://betafy.co
3	CrunchBase	https://www.crunchbase.com
4	EarlyTools	https://earlytools.com
5	Future Tools	https://www.futuretools.io
6	LaunchBase	https://launchbase.app
7	Nextpedia	https://nextpedia.io
8	PitchGround	https://pitchground.com
9	SaaSHub	https://www.saashub.com
10	SaaSList	https://saaslist.co
11	SideProjectors	https://www.sideprojectors.com
12	StackShare	https://stackshare.io
13	Startup Resources	https://startupresources.io
14	StartupBase	https://startupbase.io
15	ToolBoard	https://toolboard.io
16	AI Cyclopedia	https://www.aicyclopedia.com
17	AI Database	https://www.ai-database.org
18	AI Scout	https://aiscout.net
19	AI Tool Directory	https://aitooldirectory.com
20	AI Valley	https://aivalley.ai
21	All Things AI	https://allthings-ai.com
22	AlternativeTo	https://alternativeto.net
23	AngelList / Wellfound	https://wellfound.com
24	App Stacks	https://appstacks.club
25	AppSumo (if eligible later)	https://appsumo.com
26	BetaList	https://betalist.com
27	Capterra (if SaaS mature)	https://www.capterra.com
28	CtrlAltCC	https://ctrlalt.cc
29	Dang AI	https://dang.ai
30	Dev Hunt	https://devhunt.org
31	DevPages	https://devpages.io
32	Futurepedia (if AI startup)	https://www.futurepedia.io
33	G2 (later stage)	https://www.g2.com
34	GitHub (awesome lists)	https://github.com
35	GrowthList	https://www.thegrowthlist.co
36	Hacker News (Show HN)	https://news.ycombinator.com/show
37	Indie Hackers	https://www.indiehackers.com
38	Indie Page	https://indiepa.ge
39	Launch Dir	https://www.launchdir.com
40	Launch Space	https://launchspace.io
41	Launching Next	https://www.launchingnext.com
42	Launching.io	https://www.launching.io
43	Makerlog (Projects section)	https://getmakerlog.com
44	Makerpad Directory	https://www.makerpad.co
45	MicroLaunch	https://microlaunch.net
46	No Code List	https://nocodelist.co
47	PitchWall	https://pitchwall.co
48	Product Hunt	https://www.producthunt.com
49	SaaS AI Tools	https://saasaitools.com
50	SaaS Discovery	https://saasdiscovery.com
51	SaaS Genius	https://saas-genius.com
52	SaaS Worthy	https://www.saasworthy.com
53	Side Project Ideas	https://sideprojectideas.com
54	Startup Buffer	https://startupbuffer.com
55	Startup Collections	https://startupcollections.com
56	Startup Fame	https://startupfa.me
57	Startup Inspire	https://www.startupinspire.com
58	Startup Stash	https://startupstash.com
59	Tiny Alternatives	https://tinyalternatives.com
60	Tiny Startups	https://www.tinystartups.com
61	Toolify	https://www.toolify.ai
62	TopAI.tools	https://topai.tools
63	Trustpilot (for credibility)	https://www.trustpilot.com
64	Uneed	https://www.uneed.best
65	Acid Tools	https://acidtools.com
66	Active Search Results	https://www.activesearchresults.com
67	Addon Biz	https://www.addonbiz.com
68	AI Tech Viral	https://aitechviral.com
69	AI Toolz	https://aitoolzs.com
70	AI X Collection	https://aixcollection.com
71	AIFindr	https://aifindr.com
72	AIGC 160	https://aigc160.com
73	Alternative Tools	https://alternativetools.io
74	AppaList	https://appalist.com
75	AppLaunchpad	https://applaunchpad.io
76	Appsy Tools	https://appsytools.com
77	AppVault	https://appvault.io
78	Ash List	https://ashlist.com
79	Beam Tools	https://beamtools.com
80	Ben's Bites	https://news.bensbites.com
81	Best Tool Vault	https://besttoolvault.com
82	BestofAI	https://bestofai.com
83	Bowora	https://bowora.com
84	Brownbook	https://www.brownbook.net
85	BuildLog	https://buildlog.to
86	BuiltByMe	https://builtbyme.io
87	BuiltWithTools	https://builtwithtools.com
88	BusinessHunt	https://businesshunt.co
89	Callupcontact	https://www.callupcontact.com
90	CurateClick	https://curateclick.com
91	DailyLaunch	https://dailylaunch.io
92	DeepLaunch.io	https://deeplaunch.io
93	DevHub	https://devhub.best
94	DevLaunch	https://devlaunch.io
95	DR Checker	https://drchecker.org
96	FF2050.AI	https://ff2050.com
97	Firsto	https://firsto.co
98	Foundr Tools	https://foundr.tools
99	FreshStartups	https://freshstartups.io
100	GetWorm	https://getworm.com
101	Good AI Tools	https://goodaitools.com
102	Hunt for Tools	https://huntfortools.com
103	Idea Kiln	https://ideakiln.com
104	IndieFounder	https://indiefounder.co
105	IndieLaunch	https://indielaunch.co
106	IndieMade	https://indiemade.co
107	IndiePages	https://indiepages.com
108	IndieStack	https://indiestack.co
109	Indietool	https://www.indietool.io
110	IndieTools	https://indietools.app
